ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/həɟˈazmbə/,/ajˈazəm/,6,1.0,1.4807692307692308,8,6
1,*/həvlˈi/,/avlˠˈi/,3,0.75,0.5384615384615384,5,4
2,*/hˈalimbə/,/ˈaləm/,4,1.0,1.4807692307692308,7,4
3,*/hˈəmbɛ/,/ˈamɛ/,3,1.0,0.9423076923076923,5,3
4,*/həɾsˈɛnkə/,/əɾsˈiŋɡə/,4,0.5714285714285714,0.6538461538461539,8,7
5,*/hˈɛɡɾɛə/,/ˈɛɡəɾ/,4,1.0,1.2884615384615385,6,4
6,*/vəjˈɛɾə/,/ˈɛɾə/,3,1.0,1.3653846153846154,6,3
7,*/jˈɛhə/,/jˈɛh/,1,0.3333333333333333,0.40384615384615385,4,3
8,*/jˈɛɾmb/,/jˈɛɾm/,1,0.25,0.36538461538461536,5,4
9,*/jəzˈɛf/,/jɔzˈɛf/,1,0.2,0.1346153846153846,5,5
10,*/jəzˈif/,/jɔzˈif/,1,0.2,0.1346153846153846,5,5
11,*/hˈijʒmmb/,/ˈiʃəm/,5,1.25,1.3076923076923077,7,4
12,*/hˈɔkɾə/,/ˈɔkəɾ/,3,0.75,1.0384615384615385,5,4
13,*/kaləɟˈɛɾ/,/kalˠɔɟˈɛɾ/,2,0.2857142857142857,0.21153846153846154,7,7
14,*/kətˈɔɡ/,/katˈua̯/,3,0.6,0.4807692307692308,5,5
15,*/kˈənɾ/,/kˈandəɾ/,3,0.5,1.1153846153846154,4,6
16,*/kˈaltə/,/kˈaltə/,0,0.0,0.0,5,5
17,*/kˈaltnə/,/kˈaltəɾ/,2,0.3333333333333333,0.5192307692307693,6,6
18,*/kəpnˈua̯n/,/kˈam/,6,2.0,2.7884615384615383,7,3
19,*/kəlˈɛɟɛɾ/,/klˠˈɔɟəɾ/,4,0.6666666666666666,0.8653846153846154,7,6
20,*/kəkkˈumlˠ/,/kˈumbulˠ/,5,0.8333333333333334,1.4230769230769231,7,6
21,*/ɡəʃˈʌ̹f/,/ɡəzˈɔf/,2,0.4,0.19230769230769232,5,5
22,*/kəɾʃətˈua̯n/,/ɡəɾʃˈɛt/,5,0.8333333333333334,2.1923076923076925,9,6
23,*/ɡɾəfˈɛjə/,/ɡəɾfˈɛj/,3,0.5,0.9230769230769231,7,6
24,*/ɡɾˈəmmbə/,/ɡˈəɾmə/,3,0.6,0.9423076923076923,7,5
25,*/ɡəlˠˈua̯n/,/ɡˈɔlˠ/,4,1.3333333333333333,2.0576923076923075,6,3
26,*/vəjjˈɛ/,/lˠˈəɾə/,5,1.25,0.9423076923076923,5,4
27,*/kəɾəʃˈi/,/cɛɾʃˈi/,3,0.6,0.7307692307692307,6,5
28,*/?1ˈɛɾmb/,/cˈɛɾm/,2,0.5,0.5769230769230769,5,4
29,*/t͡ʃ?1ˈɛfəɾə/,/cˈɛfəɾ/,3,0.6,1.1346153846153846,7,5
30,*/t͡ʃjˈɛfalə/,/cˈɛfulˠ/,5,1.0,1.4230769230769231,7,5
31,*/kəɾˈi/,/ciɾˈi/,2,0.5,0.17307692307692307,4,4
32,*/t͡ʃˈɛlə/,/cˈulˠ/,4,1.3333333333333333,0.9423076923076923,4,3
33,*/ʃˈaɾk/,/ʃˈaɾk/,0,0.0,0.0,4,4
34,*/ʃəɾˈit?1/,/ʃəɾˈis/,2,0.4,0.34615384615384615,6,5
35,*/ʃˈʌ̹ʃ/,/ʃˈɔʃ/,1,0.3333333333333333,0.038461538461538464,3,3
